Source,Target
Perez,Varela
Pizarro,Soto
Pizarro,Mackay
Rodriguez,Del-Rio
Sandoval,Plaza
Velasquez,Seguel
Browne,Urrejola
Cornejo,Gonzalez
Hasbun,Selume
Molina,Oliva
Saffirio,Espinoza
Vilches,Guzman
Teillier,Del-Valle
Araya,Guerrero
Accorsi,Opazo
Aguilo,Melo
Allende,Bussi
Alvarado,Andrade
Alvarez,Zenteno
Alvarez-Salamanca,Buchi
Perez,San-Martin
Ascencio,Mansilla
Barros,Montero
Bauer,Jouanne
Becker,Alvear
Bertolino,Rendic
Burgos,Varela
Bustos,Ramirez
Cardemil,Herrera
Ceroni,Fuentes
Correa,De-la-Cerda
Cristi,Marfil
Cubillos,Sigall
Delmastro,Naso
Diaz,Del-Rio
Dittborn,Cordua
Egana,Respaldiza
Encina,Moriamez
Errazuriz,Eguiguren
Espinoza,Sandoval
Forni,Lobos
Galilea,Carrillo
Garcia,Garcia
Garcia-Huidobro,Sanfuentes
Gonzalez,Torres
Hales,Dib
Hernandez,Hernandez
Jaramillo,Becker
Jarpa,Wevar
Kast,Rist
Leal,Labrin
Lorenzini,Basso
Martinez,Labbe
Masferrer,Pellizzari
Melero,Abaroa
Meza,Moncada
Monckeberg,Diaz
Montes,Cisternas
Moreira,Barros
Mulet,Martinez
Munoz,D'Albora
Norambuena,Farias
Ojeda,Uribe
Olivares,Zepeda
Ortiz,Novoa
Palma,Flores
Paredes,Fierro
Paya,Mira
Perez,Arriagada
Quintana,Leal
Recondo,Lavanderos
Robles,Pantoja
Rojas,Molina
Rossi,Ciocca
Saa,Diaz
Saffirio,Suarez
Salaberry,Soto
Sepulveda,Orbenes
Soto,Gonzalez
Tarud,Daccarett
Toha,Morales
Tuma,Zedan
Ulloa,Aguillon
Uriarte,Herrera
Urrutia,Bonilla
Valenzuela,Van-Treek
Vargas,Lyng
Venegas,Rubio
Vidal,Lazaro
Von-Muhlenbrock,Zamora
Walker,Prieto
Aedo,Ormeno
Alinco,Bustos
Arenas,H̦dar
Bobadilla,Munoz
Chahuan,Chahuan
De-Urresti,Longton
Diaz,Diaz
Duarte,Leiva
Eluchans,Urenda
Enriquez-Ominami,Gumucio
Escobar,Rufatt
Espinosa,Monardes
Estay,Penaloza
Farias,Ponce
Fuentealba,Vildosola
Girardi,Briere
Godoy,Ibanez
Goic,Boroevic
Herrera,Silva
Insunza,Gregorio-de-las-Heras
Isasi,Barbieri
Jimenez,Fuentes
Latorre,Carmona
Leon,Ramirez
Lobos,Krause
Monckeberg,Bruner
Monsalve,Benavides
Nogueira,Fernandez
Nunez,Lozano
Pacheco,Rivas
Pascal,Allende
Rubilar,Barahona
Sabag,Villalobos
Sepulveda,Hermosilla
Silber,Romo
Sule,Fernandez
Sunico,Galdames
Turres,Figueroa
Valcarce,Becerra
Vallespin,Lopez
Venegas,Cardenas
Verdugo,Soto
Ward,Edwards
Schilling,Rodriguez
Harboe,Bascunan
Alvarez-Salamanca,Ramirez
Andrade,Lara
Auth,Stewart
Baltolu,Rasera
Calderon,Bassi
Campos,Jara
Carmona,Soto
Castro,Gonzalez
Cerda,Garcia
Chahin,Valenzuela
Edwards,Silva
Girardi,Lavin
Gutierrez,Galvez
Gutierrez,Pino
Hoffmann,Opazo
Lemus,Aracena
Macaya,Danus
Marinovic,Solo-de-Zaldivar
Morales,Munoz
Perez,Lahsen
Rincon,Gonzalez
Rivas,Sanchez
Sabat,Fernandez
Santana,Tirachini
Sauerbaum,Munoz
Silva,Mendez
Squella,Ovalle
Torres,Jeldes
Tuma,Zedan
Van-Rysselberghe,Herrera
Vargas,Pizarro
Walker,Prieto
Zalaquett,Said
Acuna,Cisternas
Alessandri,Valdes
Avila,Contreras
Caminondo,Saez
Coloma,Correa
Elgueta,Barrientos
Espina,Otero
Garcia,Ruminot
Krauss,Rusque
Mesias,Lehu
Pareto,Gonzalez
Prochelle,Aguilar
Prokuri̤a,Prokuri̤a
Reyes,Alvarado
Sciaraffia,Estrada
Urrutia,Cardenas
Van-Rysselberghe,Varela
Walker,Prieto
Arratia,Valdebenito
Bustos,Huerta
Fossa,Rojas
Gutierrez,Roman
Huenchumilla,Jaramillo
Jocelyn-Holt,Letelier
Martinez,Ocamica
Naranjo,Ortiz
Palma,Irarrazaval
Pollarolo,Villa
Valenzuela,Herrera
Vega,Vera
Palma,Irarrazaval
Rocha,Manrique
Velasco,De-la-Cerda
Nunez,Valenzuela
Rozas,Velasquez
Hernandez,Saffirio
Monge,Sanchez
Hurtado,Ruiz-Tagle
Jara,Wolff
Salas,De-La-Fuente
Matthei,Fornet
Munizaga,Rodriguez
Arancibia,Calderon
Aylwin,Azocar
Bombal,Otaegui
Cantero,Ojeda
Dupre,Silva
Elizalde,Hevia
Estevez,Valencia
Fantuzzi,Hernandez
Gajardo,Chacon
Ribera,Neumann
Rodriguez,Cataldo
Sabag,Castillo
Schaulsohn,Brodsky
Sota,Barros
Taladriz,Garcia
Toha,Gonzalez
Urrutia,Avila
Valcarce,Medina
Viera-Gallo,Quesney
Allamand,Zavala
Aylwin,Oyarzun
Balbontin,Arteaga
De-la-Maza,Maillet
Ferrada,Valenzuela
Jurgensen,Caesar
Makluf,Campos
Solis,Cabezas
Villegas,Gonzalez
W̦rner,Tapia
Zambrano,Opazo
Alamos,Vasquez
Alessandri,Balmaceda
Bosselin,Correa
Campos,Quiroga
Cardemil,Alfaro
Carrasco,Munoz
Devaud,Ojeda
Faulbaum,Mayorga
Guzman,Alvarez
Horvath,Kiss
Huepe,Garcia
Jara,Catalan
Kuzmicic,Calderon
Maluenda,Campos
Martinez,Sepulveda
Matta,Aragay
Mekis,Martinez
Molina,Valdivieso
Morales,Adriasola
Munoz,Barra
Navarrete,Carvacho
Olivares,Solis
Ortega,Riquelme
Palestro,Rojas
Pena,Meza
Perez,Munoz
Ramirez,Vergara
Ringeling,Hunger
Rodriguez,Guerrero
Rodriguez,Riccomini
Rojo,Avendano
Rojos,Astorga
Soto,Morales
Sotomayor,Mardones
Yunge,Bustamante
Manterola,
Bayo,Veloso
Caraball,Martinez
Escalona,Medina
Escobar,Urbina
Galilea,Vidaurre
Gonzalez,Roman
Hidalgo,Gonzalez
Ibanez,Santa-Maria
Jeame,Barrueto
Jimenez,Villavicencio
Kuschel,Silva
Lagos,Herrera
Letelier,Morel
Letelier,Norambuena
Longueira,Montes
Luksic,Sandoval
Molina,Sanhueza
Mora,Longa
Navarro,Brain
Pareto,Vergara
Perez,Opazo
Prieto,Lorca
Rebolledo,Gonzalez
Sanchez,Grunert
Seguel,Molina
Silva,Ortiz
Varela,Herrera
Villouta,Concha
Longton,Guerrero
Munoz,Aburto
Perez,Lobos
Cornejo,Vidaurrazaga
Girardi,Lavin
Riveros,Marin
Guzman,Mena
Leay,Moran
Ibanez,Soto
Mella,Gajardo
Tapia,Martinez
Concha,Urbina
Vilicic,Karnincic
Orpis,Bouchon
Chadwick,Pinera
Morales,Morales
Leblanc,Valenzuela
Smok,Ubeda
Jofre,Nunez
Ovalle,Ovalle
Soria,Macchiavello
Bartolucci,Johnston
Hamuy,Berr
Gonzalez,Rodriguez
Karelovic,Vrandecic
Rebolledo,Leyton
Araya,de-la-Cruz
Letelier,Aguilar
Rosales,Guzman
Kort,Garriga
Trisotti,Martinez
Lavin,Leon
Vallejo,Dowling
Carvajal,Ambiado
Flores,Garcia
Morano,Cornejo
Hernando,Perez
Nunez,Urrutia
Provoste,Campillay
Gahona,Salazar
Nunez,Arancibia
Urizar,Munoz
Urrutia,Soto
Farcas,Guendelman
Cariola,Oliva
Fernandez,Allende
Jackson,Drago
Kast,Sommerhoff
Pilowsky,Greene
Arriagada,Macaya
Melo,Contreras
Bellolio,Avaria
Soto,Ferrada
Coloma,Alamos
Espejo,Yaksic
Chavez,Velasquez
Poblete,Zapata
Paulsen,Kehr
Berger,Fett
Fuenzalida,Figueroa
De-Mussy,Hiriart
Fuentes,Castillo
Boric,Font
Alvarado,Ramirez
Alarcon,Rojas
Alessandri,Vergara
Alvarez,Ramirez
Amar,Mancilla
Barrera,Moreno
Bianchi,Retamales
Calisto,Aguila
Carter,Fernandez
Castillo,Munoz
Castro,Bascunan
Celis,Araya
Celis,Montt
Cid,Versalovic
Cruz-Coke,Carvallo
Del-Real,Mihovilovic
Desbordes,Jimenez
Duran,Espinoza
Eguiguren,Correa
Flores,Oporto
Fuenzalida,Cobo
Galleguillos,Castillo
Garin,Gonzalez
Hertz,Cadiz
Hirsch,Goldschmidt
Ibanez,Cotroneo
Jiles,Moreno
Jurgensen,Rundshagen
Keitel,Bianchi
Leiva,Carvajal
Leuquen,Uribe
Longton,Herrera
Luck,Urban
Marzan,Pinto
Mellado,Pino
Mellado,Suazo
Mix,Jimenez
Molina,Magofke
Moreira,Barros
Munoz,Gonzalez
Noman,Garrido
Nuyado,Ancapichun
Olivera,De-La-Fuente
Ossandon,Irarrazabal
Pardo,Sainz
Parra,Sauterel
Perez,Olea
Perez,Salinas
Prieto,Lorca
Ramirez,Diez
Renteria,Moller
Rey,Martinez
Rojas,Valderrama
Romero,Saez
Rosas,Barrientos
Saavedra,Chandia
Sanhueza,Duenas
Santana,Castillo
Santibanez,Novoa
Rocafull,Lopez
Sepulveda,Soto
Alvarez,Vera
Brito,Hasbun
Cicardini,Milla
Crispi,Serrano
Duran,Salinas
Soto,Mardones
Toha,Gonzalez
Torrealba,Alvarado
Troncoso,Hellman
Undurraga,Gazitua
Urruticoechea,Rios
Velasquez,Nunez
Verdessi,Belemmi
Vidal,Rojas
Winter,Etcheberry
Yeomans,Araya
Gonzalez,Gatica
Ilabaca,Cerda
Kast,Sommerhoff
Labra,Sepulveda
Mirosevic,Verdugo
Orsini,Pascal
Rathgeb,Schifferli
Saldivar,Auger
Schalper,Sepulveda
Bernales,Maldonado
Cuevas,Contreras
Concha,Quezada
Castelblanco,Agüero
Contreras,Tapia
Aguirre,Doolan
Bascunan,Stonner
Wachholtz,Araya
Bossay,Leiva
Rios,Valdivia
Wachholtz,Araya
Pico,Canas
Correa,Fuenzalida
Correa,Labra
Contreras,Labarca
Juliet,Gomez
Claro,Salas
Sanhueza,Flores
Bossay,Leiva
Bascunan,Stonner
Molina,Garmendia
Vergara,Osses
Holger,Torres
Quintana,Burgos
Puga,Fisher
Vergara,Donoso
Salas,Morales
Pradenas,Munoz
Salas,Morales
Letelier,Icaza
Puga,Fisher
Opaso,Cousino
Steeger,Schaffer
Estay,Cortes
Alvarez,Brucher
Palma,Vicuna
Baltra,Cortes
Vidal,de-la-Fuente
Ruiz,Burgeois
Mallet,Simonetti
Rodriguez,Valenzuela
Alessandri,Rodriguez
Maschke,Tornero
Vial,Espantoso
Holger,Torres
Rossetti,Colombino
Puga,Fisher
Puga,Fisher
Merino,Segura
Merino,Segura
Ignacio,Riesco
Vergara,Donoso
Varas,Contreras
Aguirre,Geisse
Letelier,Icaza
Garcia,Oldini
Plaza,Monreal
Puga,Fisher
Claro,Velasco
Yrarrazaval,Lecaros
Alfonso,Barrios
Walker,Larrain
Moller,Bordeu
Quintana,Burgos
Agüero,Corbalan
Palma,Vicuna
Melfi,Cerda
Grove,Vallejos
Cobo,Gormaz
Infante,Larrain
Larrain,Tejada
Garnham,Barros
Leighton,Guzman
