Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,clustering,triangles,eigencentrality,pageranks
Perez,Perez,,20,25,9,0.239491,0.283174,34082.925841,0.187324,0.187324,54,0,0,0,0.611936,0.006759
Varela,Varela,,5,7,9,0.219048,0.246813,11659.525866,0.066558,0.066558,57,0,0.1,1,0.242867,0.00158
Pizarro,Pizarro,,4,4,10,0.2,0.224872,3670.954545,0.042049,0.042049,44,0,0,0,0.132213,0.001409
Soto,Soto,,12,12,9,0.230427,0.269239,17202.372833,0.19783,0.19783,50,0,0,0,0.478688,0.003671
Mackay,Mackay,,2,3,11,0.166801,0.181159,620,0.007581,0.007581,44,0,0,0,0.028886,0.000853
Rodriguez,Rodriguez,,13,17,8,0.241259,0.279396,24280.104793,0.199606,0.199606,55,0,0,0,0.509267,0.004214
Del-Rio,Del-Rio,,2,2,9,0.210437,0.232887,2826.729401,0.045989,0.045989,55,0,0,0,0.141012,0.000697
Sandoval,Sandoval,,4,4,10,0.173658,0.193667,2581.19347,0.00648,0.00648,22,0,0,0,0.063106,0.00146
Plaza,Plaza,,2,2,11,0.148069,0.160292,620,0.001168,0.001168,22,0,0,0,0.019085,0.00087
Velasquez,Velasquez,,4,4,10,0.182916,0.201353,2215.045238,0.015466,0.015466,66,0,0,0,0.065031,0.001499
Seguel,Seguel,,3,3,11,0.176722,0.197128,2002.874026,0.011198,0.011198,66,0,0,0,0.070834,0.001066
Browne,Browne,,1,1,1,1,1,0,0,0,0,1,0,0,0.002887,0.000885
Urrejola,Urrejola,,1,1,1,1,1,0,0,0,0,1,0,0,0.002887,0.000885
Cornejo,Cornejo,,4,4,9,0.208389,0.234818,3637.407565,0.092687,0.092687,51,0,0,0,0.20176,0.001437
Gonzalez,Gonzalez,,23,37,8,0.257569,0.308167,41068.92221,0.469722,0.469722,50,0,0.003953,1,1,0.007052
Hasbun,Hasbun,,2,2,1,1,1,1,0,0,1,1,0,0,0.006458,0.001292
Selume,Selume,,1,1,2,0.666667,0.75,0,0,0,1,2,0,0,0.004276,0.000682
Molina,Molina,,9,14,10,0.200517,0.233355,10538.693687,0.046182,0.046182,42,0,0.027778,1,0.248535,0.003086
Oliva,Oliva,,2,2,11,0.16725,0.184888,1238,0.008335,0.008335,42,0,0,0,0.053345,0.000819
Saffirio,Saffirio,,3,3,10,0.181685,0.201392,2024.008009,0.021898,0.021898,22,0,0,0,0.071039,0.001043
Espinoza,Espinoza,,5,5,11,0.17009,0.189604,2392.10008,0.006968,0.006968,22,0,0,0,0.054882,0.001733
Vilches,Vilches,,1,1,10,0.172165,0.187376,0,0.004554,0.004554,20,0,0,0,0.040295,0.000423
Guzman,Guzman,,9,13,9,0.207901,0.238592,8716.96627,0.026052,0.026052,20,0,0,0,0.199046,0.003072
Teillier,Teillier,,1,1,1,1,1,0,0,0,2,3,0,0,0.002887,0.000885
Del-Valle,Del-Valle,,1,1,1,1,1,0,0,0,2,3,0,0,0.002887,0.000885
Araya,Araya,,7,8,10,0.167747,0.185848,4929,0.008987,0.008987,3,1,0,0,0.058604,0.002846
Guerrero,Guerrero,,3,3,9,0.200452,0.222215,5782.447619,0.041938,0.041938,3,0,0,0,0.124264,0.001058
Accorsi,Accorsi,,1,1,11,0.162268,0.174097,0,0.006301,0.006301,54,0,0,0,0.023971,0.000485
Opazo,Opazo,,4,4,10,0.193639,0.215624,1857,0.036046,0.036046,54,0,0,0,0.125321,0.001656
Aguilo,Aguilo,,1,1,11,0.142301,0.150722,0,0.000801,0.000801,61,0,0,0,0.00927,0.000477
Melo,Melo,,2,2,10,0.165865,0.179851,620,0.004585,0.004585,61,0,0,0,0.036064,0.000811
Allende,Allende,,3,3,10,0.168156,0.18553,1856,0.01138,0.01138,45,0,0,0,0.05764,0.001271
Bussi,Bussi,,1,1,11,0.143983,0.153965,0,0.001989,0.001989,45,0,0,0,0.013776,0.000493
Alvarado,Alvarado,,6,6,10,0.184602,0.207915,6144,0.02503,0.02503,7,0,0,0,0.111648,0.002354
Andrade,Andrade,,2,3,11,0.155952,0.169295,620,0.004513,0.004513,7,0,0,0,0.027945,0.000907
Alvarez,Alvarez,,6,7,9,0.205086,0.233004,6330.974603,0.034546,0.034546,7,0,0,0,0.16648,0.002041
Zenteno,Zenteno,,1,2,10,0.17023,0.184595,0,0.006038,0.006038,7,0,0,0,0.032748,0.000422
Alvarez-Salamanca,Alvarez-Salamanca,,2,2,10,0.183619,0.201796,620,0.02177,0.02177,7,0,0,0,0.077488,0.000825
Buchi,Buchi,,1,1,11,0.155172,0.165618,0,0.003805,0.003805,7,0,0,0,0.015338,0.000483
San-Martin,San-Martin,,1,1,10,0.193277,0.212404,0,0.032743,0.032743,54,0,0,0,0.106994,0.00042
