Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,clustering,triangles
Aballay,Aballay,,2,2,7,0.296705,0.310505,0,0.005731,0.005731,18,0.000123,0,1,1
Contreras,Contreras,,117,151,6,0.395544,0.433273,107239.005005,0.125811,0.125811,45,0.005146,0,0.069997,475
Abalos,Abalos,,2,5,7,0.266816,0.276779,1102.845008,0.001524,0.001524,17,0.00016,0,0,0
Portas,Portas,,2,2,8,0.219446,0.225454,5.427232,0.000084,0.000084,17,0.000167,0,0,0
Romero,Romero,,50,63,6,0.36365,0.390831,34457.168046,0.062508,0.062508,17,0.002298,0,0.098776,121
Abarca,Abarca,,29,33,6,0.34788,0.370362,13377.889754,0.036248,0.036248,3,0.001297,0,0.093596,38
Aliste,Aliste,,4,6,7,0.29125,0.304915,35.939243,0.005268,0.005268,3,0.000198,0,0.333333,2
Barrera,Barrera,,26,29,6,0.341706,0.363564,10369.339656,0.034848,0.034848,17,0.001133,0,0.12,39
Bravo,Bravo,,70,78,6,0.371145,0.402004,59297.193571,0.07692,0.07692,45,0.003201,0,0.075776,183
Campusano,Campusano,,7,7,7,0.311978,0.327897,486.221735,0.009852,0.009852,60,0.00033,0,0.142857,3
Carcamo,Carcamo,,27,30,6,0.345051,0.368085,11954.684919,0.034359,0.034359,49,0.001164,0,0.088319,31
Chavez,Chavez,,18,23,6,0.33258,0.35259,2050.014952,0.024939,0.024939,14,0.000744,0,0.163399,25
Diaz,Diaz,,157,221,6,0.410597,0.452584,185569.976229,0.155419,0.155419,14,0.006924,0,0.059203,725
Gonzalez,Gonzalez,,247,385,6,0.440514,0.49125,364093.320503,0.233764,0.233764,70,0.011067,0,0.050986,1549
Herrada,Herrada,,2,2,7,0.276483,0.287433,7.445347,0.002456,0.002456,3,0.000124,0,0,0
Leiva,Leiva,,49,59,6,0.369065,0.39701,26867.999242,0.067091,0.067091,72,0.002045,0,0.121599,143
Palacios,Palacios,,20,23,6,0.341287,0.362605,7608.597798,0.030361,0.030361,70,0.000875,0,0.121053,23
Paniagua,Paniagua,,2,2,7,0.264141,0.27394,9.558576,0.001479,0.001479,3,0.000127,0,0,0
Quinteros,Quinteros,,15,16,6,0.327489,0.346125,4507.242694,0.019549,0.019549,27,0.000691,0,0.12381,13
Saavedra,Saavedra,,48,55,6,0.365936,0.393668,21989.736663,0.068678,0.068678,45,0.002032,0,0.139184,157
Vargas,Vargas,,89,114,6,0.380569,0.414423,85897.121455,0.098003,0.098003,64,0.00407,0,0.076353,299
Abarzua,Abarzua,,9,9,7,0.316115,0.333244,810.690668,0.012377,0.012377,59,0.000404,0,0.111111,4
Cortes,Cortes,,39,45,6,0.353931,0.379212,19407.003338,0.047844,0.047844,3,0.001706,0,0.106613,79
Cruz,Cruz,,31,35,6,0.337332,0.359635,30818.495476,0.025796,0.025796,83,0.001662,0,0.055914,26
Rodriguez,Rodriguez,,90,117,6,0.378955,0.413584,73521.618429,0.095071,0.095071,80,0.004036,0,0.072659,291
Uribe,Uribe,,23,26,6,0.32865,0.348269,11412.73749,0.018536,0.018536,17,0.001082,0,0.035573,9
Abello,Abello,,1,1,7,0.266702,0.276413,0,0.001522,0.001522,17,0.000088,0,0,0
Aburto,Aburto,,17,17,6,0.327532,0.347217,4395.930064,0.021246,0.021246,45,0.000787,0,0.139706,19
Egana,Egana,,3,3,7,0.301022,0.315492,43.589673,0.006613,0.006613,83,0.000165,0,0,0
Farias,Farias,,38,43,6,0.35554,0.381675,26401.273731,0.047622,0.047622,18,0.001844,0,0.113798,80
Munoz,Munoz,,182,280,6,0.426987,0.471341,219940.820028,0.2066,0.2066,45,0.007856,0,0.078137,1287
Olivos,Olivos,,4,4,7,0.287305,0.300847,76.454412,0.004154,0.004154,45,0.000207,0,0.166667,1
Ramirez,Ramirez,,87,101,6,0.386146,0.420049,72123.545251,0.103554,0.103554,70,0.003911,0,0.09035,338
Rojas,Rojas,,142,194,5,0.41585,0.455533,147592.52072,0.165313,0.165313,83,0.006205,0,0.084307,844
Salgado,Salgado,,23,24,6,0.343819,0.365555,3894.224659,0.035749,0.035749,45,0.000934,0,0.189723,48
Saravia,Saravia,,4,4,6,0.313738,0.329904,207.53999,0.009174,0.009174,9,0.000212,0,0.166667,1
Uriz,Uriz,,1,1,7,0.246747,0.254617,0,0.000517,0.000517,45,0.000089,0,0,0
Urrea,Urrea,,5,5,6,0.315916,0.332135,188.79723,0.010264,0.010264,27,0.000243,0,0.2,2
Vasquez,Vasquez,,68,83,6,0.379357,0.410614,55071.212007,0.087255,0.087255,44,0.003019,0,0.112818,257
Aceiton,Aceiton,,1,1,7,0.266078,0.275354,0,0.001511,0.001511,8,0.000087,0,0,0
Venegas,Venegas,,38,38,6,0.362491,0.387968,21727.308735,0.062058,0.062058,8,0.001678,0,0.180654,127
Aceituno,Aceituno,,7,7,6,0.322012,0.338714,206.737405,0.016544,0.016544,48,0.000312,0,0.285714,6
Cornejo,Cornejo,,32,39,6,0.359678,0.384006,11371.423593,0.052416,0.052416,7,0.001344,0,0.153226,76
Soto,Soto,,122,164,6,0.401122,0.439486,114197.216542,0.135667,0.135667,70,0.005244,0,0.078309,578
Aceval,Aceval,,1,1,8,0.22237,0.228533,0,0.000094,0.000094,17,0.000109,0,0,0
Manzo,Manzo,,4,4,7,0.285926,0.299462,2834.005128,0.00385,0.00385,17,0.000281,0,0,0
Acevedo,Acevedo,,32,38,6,0.350021,0.373951,13527.650246,0.044143,0.044143,45,0.001353,0,0.133065,66
Albornoz,Albornoz,,17,19,7,0.329385,0.348865,4580.361739,0.022511,0.022511,7,0.000743,0,0.117647,16
